sma,buy,sell,score,avg_cagr,median_cagr,p25_cagr,win_rate_cagr_gt_30,avg_sharpe,avg_dd,worst_dd
225,4,0,0.3615549667390535,0.3214864622627035,0.34206034008400876,0.2792406410768671,0.67,0.884789736526547,-0.4581679013410981,-0.5320982412840863
125,0,3,0.36153420344370346,0.34345256034358757,0.3587991471818861,0.28376408708304957,0.72,0.8846391683981228,-0.5084539898297475,-0.5756623984528633
150,8,2,0.3612368524502333,0.3121188928446732,0.3288018236766901,0.27909760487403834,0.67,0.8894517128483086,-0.4377075526017646,-0.5157262142629948
125,0,5,0.36102735566721045,0.35262706477160277,0.35648746870471193,0.30075018363123807,0.75,0.8944549784117942,-0.5661554058385534,-0.6811119158299392
200,2,0,0.36013516254755346,0.32362663499019084,0.3410672545025746,0.2895805933427047,0.68,0.8788410911999434,-0.49910480209502894,-0.5923368091564427
175,4,1,0.35952731001681887,0.3388401934155201,0.3552965163956854,0.27553360362562884,0.7,0.8956125328135306,-0.4899937736997807,-0.5320982412840863
150,8,4,0.3589857778644382,0.323804864738277,0.34363543016428744,0.27197333214869457,0.65,0.8993339074954193,-0.4469503834590918,-0.5157262142629947
125,5,6,0.3589480492524821,0.3463262815384859,0.34605996057392874,0.2852360258724882,0.7,0.8933332215212708,-0.5163000371531663,-0.5691961608420291
225,5,0,0.35879852465298734,0.32593888876408733,0.339499725090866,0.27619406149430703,0.69,0.8940984045349655,-0.45448740714592817,-0.5320982412840862
175,3,0,0.3585695482919941,0.3296891194585904,0.3525939642362732,0.2751903418635435,0.65,0.8853407721896781,-0.4803843225084216,-0.5320982412840863
150,6,2,0.3584037294300695,0.31274846301920955,0.3299790609144686,0.28298990535610047,0.65,0.8617648043053567,-0.4734646909926687,-0.5220426867140329
150,3,3,0.3571262241686444,0.3498212073073739,0.3605731917333286,0.27453141885900134,0.68,0.892592014127043,-0.506359183834274,-0.5425007086707245
100,1,6,0.35610621761278566,0.34850364925639654,0.3599834864799152,0.288707814806175,0.73,0.8838331045175893,-0.5462178535382777,-0.637563233981735
150,5,3,0.35597623015907703,0.33698388806358176,0.35666601244088736,0.27520625881710425,0.69,0.8860425937174812,-0.4931059144176862,-0.557738307796139
175,5,2,0.3558464637315261,0.33156333428125195,0.346668076129095,0.277189352650826,0.7,0.8809125330292693,-0.48492635819932894,-0.5495855522290523
175,4,3,0.35541367965321974,0.3313085611240096,0.3419725978774586,0.27886562729750586,0.66,0.8723612442222597,-0.4976786025897396,-0.5320982412840862
175,1,1,0.35493488678775953,0.33912227800120354,0.3526720001142911,0.27506543261625116,0.69,0.8848162204665738,-0.4962653255296318,-0.5479920444226354
175,5,3,0.35478427116774924,0.3260905896746575,0.33940081781124243,0.277189352650826,0.68,0.8734413231006958,-0.4821737453054887,-0.5320982412840863
