period,sma,buy_buffer,sell_buffer,cagr,max_drawdown,calmar,sharpe,trades,exposure,final_value
qqq_real_1999_synth_tqqq,150,4,2,0.15946693918111854,-0.9591356159337241,0.1662610964830834,0.5521817058291554,59,0.6697341513292433,56.094259906506984
qqq_real_1999_synth_tqqq,150,4,3,0.16829204023344357,-0.9553857870171164,0.17615087278918093,0.5660721023044986,51,0.6841951504528192,68.95173952029005
qqq_real_1999_synth_tqqq,150,4,4,0.14777620037657946,-0.9619614163802055,0.15361967523879608,0.5298277953933375,49,0.6917908267601519,42.572809445889646
qqq_real_1999_synth_tqqq,150,4,5,0.14182475957416374,-0.9647965719032007,0.14699965122636569,0.5197044667795924,43,0.7069821793748174,36.955828087606456
qqq_real_1999_synth_tqqq,150,4,6,0.14402924192798072,-0.9614630309186757,0.14980216326192086,0.522953704501761,37,0.7291849255039439,38.94769508211377
qqq_real_1999_synth_tqqq,150,4,7,0.14317001542806507,-0.9562261152145859,0.14972401731146656,0.5216424356911966,35,0.7470055506865323,38.15933904764489
qqq_real_1999_synth_tqqq,150,4,8,0.15486831617427677,-0.9626455901054612,0.1608778119030394,0.5409030894787618,31,0.7610283377154543,50.343633926708435
qqq_real_1999_synth_tqqq,150,5,0,0.08686368156756008,-0.9786481438440856,0.08875884771656897,0.4146003396416909,85,0.6105755185509787,9.651085125329141
qqq_real_1999_synth_tqqq,150,5,1,0.10821148897927402,-0.9820337154700602,0.11019121571348241,0.4581013133240584,67,0.6411042944785276,16.38677486278014
qqq_real_1999_synth_tqqq,150,5,2,0.1276251245669513,-0.9717246410263288,0.1313387755940351,0.4946568206534656,57,0.6551270815074496,26.288542656963454
qqq_real_1999_synth_tqqq,150,5,3,0.14564200729639842,-0.9642660867141861,0.15103923004560413,0.5268516684401411,49,0.6703184341221151,40.470001460061866
qqq_real_1999_synth_tqqq,150,5,4,0.12916971877854122,-0.9666022241801251,0.1336327555919948,0.4970646293793295,47,0.6777680397312299,27.28641233320323
qqq_real_1999_synth_tqqq,150,5,5,0.11441932777562092,-0.973161489363635,0.11757486195887329,0.4717711804639282,43,0.6966111598013438,19.07750270466132
qqq_real_1999_synth_tqqq,150,5,6,0.12383523420231235,-0.9687652022076855,0.12782791322408002,0.4885778903145306,37,0.7214431784983932,23.98681435916427
qqq_real_1999_synth_tqqq,150,5,7,0.12484152541313476,-0.9613665143357334,0.12985840837133314,0.49084773571658485,35,0.7397020157756354,24.578293467023045
qqq_real_1999_synth_tqqq,150,5,8,0.13692691891083753,-0.968336195661938,0.14140431755443847,0.5115089046793226,31,0.7538708735027754,32.87542563851433
qqq_real_1999_synth_tqqq,150,6,0,0.0710564354451455,-0.9799412883509683,0.07251091089826238,0.38067108199693295,77,0.5885188431200701,6.477420797322827
qqq_real_1999_synth_tqqq,150,6,1,0.11059669273054773,-0.9840359060024234,0.11239091181117467,0.4627196175943583,59,0.6235758106923751,17.374276455173213
qqq_real_1999_synth_tqqq,150,6,2,0.1492054524621036,-0.9714663630656225,0.15358787306980054,0.5355492872100359,49,0.6380368098159509,44.039468468308044
qqq_real_1999_synth_tqqq,150,6,3,0.1682960462678622,-0.96569762612407,0.17427406023905875,0.5682269026276792,41,0.6535203038270523,68.9581748063347
qqq_real_1999_synth_tqqq,150,6,4,0.14405684983602862,-0.9679401753836838,0.1488282576750424,0.5240721390472433,41,0.6633070406076541,38.97328420348219
qqq_real_1999_synth_tqqq,150,6,5,0.10471560156700854,-0.9760355608922415,0.10728666634982328,0.453971737099315,41,0.6853637160385626,15.036522965963798
qqq_real_1999_synth_tqqq,150,6,6,0.10431451277719539,-0.9743755278181869,0.10705781272111331,0.45398473236098785,37,0.7059596844872918,14.888642175962563
qqq_real_1999_synth_tqqq,150,6,7,0.1058868487293605,-0.9642228753668537,0.10981574015143976,0.4577197978230505,35,0.7249488752556237,15.476503001997559
qqq_real_1999_synth_tqqq,150,6,8,0.1210977119026242,-0.9736477370532142,0.12437528203899648,0.48463948541391805,31,0.7398480864738534,22.446310298689465
qqq_real_1999_synth_tqqq,150,7,0,0.10854730503966414,-0.9426284956587481,0.11515385492755209,0.45931827349668,63,0.558428279287175,16.522461857501565
qqq_real_1999_synth_tqqq,150,7,1,0.16557723715124917,-0.9524031571115491,0.17385204565408233,0.5717420647230914,47,0.6032719836400818,64.72115724723237
qqq_real_1999_synth_tqqq,150,7,2,0.20033245328714133,-0.9296708156488024,0.2154875144137256,0.632744428382369,39,0.6209465381244522,143.99527121021313
